order_item_id,order_no,product_id,qty,unit_price_krw,discount_pct,amount_krw
1100001,1000001,500162,5,311000,0,1555000
1100002,1000001,500082,20,3243700,5,61630300
1100003,1000001,500952,14,2928500,10,36899100
1100004,1000001,500471,17,1042200,0,17717400
1100005,1000002,500065,7,3155800,0,22090600
1100006,1000002,500016,2,2988600,5,5678340
1100007,1000002,500115,17,2016400,0,34278800
1100008,1000002,500534,19,639700,5,11546585
1100009,1000002,500319,5,1562600,0,7813000
1100010,1000003,500058,10,2147000,15,18249500
1100011,1000003,500446,13,2938600,10,34381620
1100012,1000003,500162,4,311000,0,1244000
1100013,1000004,500791,12,1329100,0,15949200
1100014,1000004,500381,9,303100,10,2455110
1100015,1000004,500843,6,1984700,0,11908200
1100016,1000004,500426,9,3206600,0,28859400
1100017,1000004,500689,3,3201800,0,9605400
1100018,1000005,500567,5,4295900,5,20405525
1100019,1000006,500361,19,60900,0,1157100
1100020,1000006,500534,17,639700,0,10874900
1100021,1000007,500431,9,2728400,0,24555600
1100022,1000007,500371,4,2083800,0,8335200
1100023,1000007,500048,6,307300,0,1843800
1100024,1000007,500170,12,3297800,0,39573600
1100025,1000008,500125,13,2166900,0,28169700
1100026,1000009,500766,17,1753900,5,28325485
1100027,1000010,500111,20,3053500,5,58016500
1100028,1000010,500588,19,2822700,10,48268170
1100029,1000011,500222,10,1797200,5,17073400
1100030,1000012,500886,15,2914900,15,37164975
1100031,1000012,500593,14,2654000,0,37156000
1100032,1000012,500838,4,166600,15,566440
1100033,1000012,500812,13,1231300,0,16006900
1100034,1000012,500815,12,1124800,15,11472960
1100035,1000013,500885,17,455300,0,7740100
1100036,1000013,500935,12,488100,0,5857200
1100037,1000013,500672,4,1506800,0,6027200
1100038,1000013,500217,15,3920400,0,58806000
1100039,1000014,500504,6,239600,10,1293840
1100040,1000015,500815,2,1124800,15,1912160
1100041,1000015,500240,15,2422800,0,36342000
1100042,1000015,500442,4,1963300,5,7460540
1100043,1000015,500030,18,2391100,15,36583830
1100044,1000015,500546,4,3304600,10,11896560
1100045,1000016,500677,13,1393000,0,18109000
1100046,1000016,500513,16,1007300,0,16116800
1100047,1000016,500572,7,3700400,5,24607660
1100048,1000016,500362,8,3198400,0,25587200
1100049,1000016,500477,14,3120100,10,39313260
1100050,1000017,500391,12,3243600,5,36977040
1100051,1000017,500934,17,957400,0,16275800
1100052,1000017,500016,6,2988600,15,15241860
1100053,1000017,500273,10,2436000,0,24360000
1100054,1000017,500860,5,939600,0,4698000
1100055,1000018,500849,13,3665900,10,42891030
1100056,1000019,500021,13,331200,5,4090320
1100057,1000019,500732,12,116500,0,1398000
1100058,1000019,500466,20,493800,15,8394600
1100059,1000019,500125,8,2166900,10,15601680
1100060,1000020,500903,14,1120200,0,15682800
1100061,1000021,500230,7,2187800,0,15314600
1100062,1000022,500753,4,383700,10,1381320
1100063,1000022,500575,8,1129400,10,8131680
1100064,1000023,500026,1,515200,0,515200
1100065,1000023,500983,4,3477700,15,11824180
1100066,1000024,500051,5,1415800,0,7079000
1100067,1000024,500393,3,674900,5,1923465
1100068,1000025,500766,8,1753900,0,14031200
1100069,1000025,500715,20,3563000,0,71260000
1100070,1000025,500246,10,2780200,10,25021800
1100071,1000025,500096,3,2588900,0,7766700
1100072,1000026,500981,16,1453500,5,22093200
1100073,1000026,500275,5,2844900,5,13513275
1100074,1000026,500539,19,4179700,5,75443585
1100075,1000027,500799,4,632600,0,2530400
1100076,1000027,500584,3,838100,5,2388585
1100077,1000027,500977,16,1069600,0,17113600
1100078,1000028,500540,4,3680400,0,14721600
1100079,1000028,500386,9,3991300,0,35921700
1100080,1000028,500401,2,63400,15,107780
1100081,1000028,500875,20,413800,5,7862200
1100082,1000029,500844,10,2137000,5,20301500
1100083,1000029,500813,12,65000,0,780000
1100084,1000029,500449,15,1447400,5,20625450
1100085,1000030,500491,7,955800,0,6690600
1100086,1000031,500568,8,1172900,5,8914040
1100087,1000031,500712,2,3336200,0,6672400
1100088,1000031,500104,16,3145100,0,50321600
1100089,1000031,500327,8,1016500,10,7318800
1100090,1000032,500905,10,2018900,10,18170100
1100091,1000033,500601,6,1329700,0,7978200
1100092,1000033,500275,13,2844900,15,31436145
1100093,1000034,500897,10,1125500,0,11255000
1100094,1000034,500478,14,4290200,5,57059660
1100095,1000034,500266,5,2149100,0,10745500
1100096,1000034,500475,13,505200,15,5582460
1100097,1000034,500218,5,1465400,5,6960650
1100098,1000035,500993,13,2367500,5,29238625
1100099,1000035,500444,5,2038700,0,10193500
1100100,1000035,500647,5,4263500,0,21317500
1100101,1000035,500961,17,3277400,5,52930010
1100102,1000035,500775,17,2777400,5,44855010
1100103,1000036,500991,17,793500,5,12815025
1100104,1000036,500633,8,1981400,0,15851200
1100105,1000036,500062,11,3411100,0,37522100
1100106,1000036,500834,8,1542300,0,12338400
1100107,1000036,500007,12,3161600,0,37939200
1100108,1000037,500638,15,3243800,5,46224150
1100109,1000037,500273,1,2436000,0,2436000
1100110,1000037,500203,11,2663400,5,27832530
1100111,1000038,500533,11,3454700,0,38001700
1100112,1000038,500270,6,123700,5,705090
1100113,1000038,500916,3,3008700,10,8123490
1100114,1000038,500755,1,3005400,0,3005400
1100115,1000039,500804,5,2081600,5,9887600
1100116,1000039,500782,7,3042000,0,21294000
1100117,1000039,500065,6,3155800,0,18934800
1100118,1000039,500689,5,3201800,5,15208550
1100119,1000040,500697,16,1225200,5,18623040
1100120,1000040,500650,4,3237300,5,12301740
1100121,1000040,500113,14,1104100,0,15457400
1100122,1000041,500902,18,2903100,5,49643010
1100123,1000041,500617,18,16400,0,295200
1100124,1000041,500035,12,804600,0,9655200
1100125,1000042,500198,1,3033500,0,3033500
1100126,1000042,500801,14,1884000,10,23738400
1100127,1000043,500285,16,3695900,0,59134400
1100128,1000043,500066,14,769400,10,9694440
1100129,1000043,500027,3,2860500,5,8152425
1100130,1000043,500495,1,172000,0,172000
1100131,1000044,500956,11,2865900,15,26796165
1100132,1000045,500900,15,2337500,0,35062500
1100133,1000045,500269,9,2035900,5,17406945
1100134,1000045,500618,8,3263000,0,26104000
1100135,1000045,500930,15,2673500,0,40102500
1100136,1000046,500576,8,57300,10,412560
1100137,1000047,500949,12,866700,10,9360360
1100138,1000047,500782,20,3042000,10,54756000
1100139,1000048,500134,15,2312200,15,29480550
1100140,1000048,500167,16,2754100,0,44065600
1100141,1000049,500372,2,1258100,0,2516200
1100142,1000049,500828,19,3516000,5,63463800
1100143,1000050,500421,11,1817500,0,19992500
1100144,1000050,500483,6,4030700,10,21765780
1100145,1000050,500690,10,310400,0,3104000
1100146,1000050,500217,19,3920400,5,70763220
1100147,1000051,500925,18,1403300,5,23996430
1100148,1000051,500319,1,1562600,5,1484470
1100149,1000051,500803,16,3929900,0,62878400
1100150,1000051,500808,14,2678800,0,37503200
1100151,1000051,500180,2,3605700,10,6490260
1100152,1000052,500197,3,3491200,0,10473600
1100153,1000052,500833,10,219300,0,2193000
1100154,1000053,500968,6,1217000,0,7302000
1100155,1000053,500204,8,3952800,0,31622400
1100156,1000054,500044,5,1894200,0,9471000
1100157,1000055,500361,10,60900,0,609000
1100158,1000055,500858,2,612200,0,1224400
1100159,1000056,500204,6,3952800,0,23716800
1100160,1000056,500916,8,3008700,5,22866120
1100161,1000057,500371,19,2083800,15,33653370
1100162,1000058,500171,19,403700,0,7670300
1100163,1000059,500644,20,1121500,0,22430000
1100164,1000059,500061,4,1298200,0,5192800
1100165,1000059,500257,16,3716000,5,56483200
1100166,1000059,500209,3,3232400,5,9212340
1100167,1000059,500490,10,2170000,10,19530000
1100168,1000060,500193,20,1479300,0,29586000
1100169,1000060,500687,3,1595300,10,4307310
1100170,1000060,500215,15,225500,0,3382500
1100171,1000060,500666,4,274100,10,986760
1100172,1000061,500106,16,441400,0,7062400
1100173,1000061,500245,13,3729000,0,48477000
1100174,1000062,500673,13,3761100,0,48894300
1100175,1000062,500409,4,3005900,0,12023600
1100176,1000062,500752,1,1804700,10,1624230
1100177,1000062,500453,4,2511300,5,9542940
1100178,1000062,500872,8,2708500,0,21668000
1100179,1000063,500942,5,589000,0,2945000
1100180,1000063,500066,7,769400,0,5385800
1100181,1000063,500756,4,645800,0,2583200
1100182,1000064,500100,9,859400,0,7734600
1100183,1000064,500773,5,273800,0,1369000
1100184,1000064,500623,4,3373400,0,13493600
1100185,1000065,500492,5,2507600,0,12538000
1100186,1000065,500497,20,902600,0,18052000
1100187,1000065,500399,9,1382900,0,12446100
1100188,1000065,500163,3,2472300,10,6675210
1100189,1000065,500583,8,1014800,15,6900640
1100190,1000066,500320,18,1562000,5,26710200
1100191,1000067,500210,7,359400,0,2515800
1100192,1000067,500812,6,1231300,10,6649020
1100193,1000067,500631,18,1491900,5,25511490
1100194,1000067,500378,4,867900,0,3471600
1100195,1000067,500940,20,97300,0,1946000
1100196,1000068,500062,17,3411100,0,57988700
1100197,1000068,500681,17,3884400,0,66034800
1100198,1000068,500788,17,1102500,10,16868250
1100199,1000069,500144,13,4015100,0,52196300
1100200,1000069,500019,17,3389100,0,57614700
1100201,1000069,500424,16,2145400,0,34326400
1100202,1000069,500705,19,3415000,0,64885000
1100203,1000070,500790,12,3218500,0,38622000
1100204,1000070,500843,19,1984700,5,35823835
1100205,1000070,500179,18,2691100,0,48439800
1100206,1000071,500570,6,2666300,0,15997800
1100207,1000072,500438,7,1449600,10,9132480
1100208,1000072,500815,9,1124800,0,10123200
1100209,1000072,500692,1,2251500,0,2251500
1100210,1000072,500917,6,2207300,0,13243800
1100211,1000072,500261,9,2363400,0,21270600
1100212,1000073,500753,14,383700,5,5103210
1100213,1000073,500181,15,1188000,0,17820000
1100214,1000073,500143,14,685800,5,9121140
1100215,1000073,500001,9,1551000,0,13959000
1100216,1000073,500891,2,3882900,10,6989220
1100217,1000074,500693,2,1914800,0,3829600
1100218,1000074,500770,8,4475700,10,32225040
1100219,1000074,500080,2,519900,15,883830
1100220,1000075,500663,6,3191100,0,19146600
1100221,1000075,500170,10,3297800,5,31329100
1100222,1000075,500099,3,1503900,10,4060530
1100223,1000075,500235,13,1060400,0,13785200
1100224,1000075,500745,2,554900,5,1054310
1100225,1000076,500426,9,3206600,5,27416430
1100226,1000076,500117,14,14900,0,208600
1100227,1000076,500506,14,1532100,0,21449400
1100228,1000077,500011,1,2386000,10,2147400
1100229,1000077,500349,8,2437500,5,18525000
1100230,1000077,500184,7,123200,0,862400
1100231,1000078,500722,4,3072200,0,12288800
1100232,1000078,500935,7,488100,5,3245865
1100233,1000079,500464,10,3448100,0,34481000
1100234,1000080,500123,7,1977600,5,13151040
1100235,1000080,500189,15,554800,5,7905900
1100236,1000080,500705,13,3415000,10,39955500
1100237,1000081,500449,7,1447400,0,10131800
1100238,1000082,500872,3,2708500,5,7719225
1100239,1000082,500351,11,2751800,0,30269800
1100240,1000082,500545,18,2654100,5,45385110
1100241,1000082,500021,3,331200,5,943920
1100242,1000083,500304,18,3345500,0,60219000
1100243,1000083,500474,10,2755100,0,27551000
1100244,1000084,500369,14,1188100,0,16633400
1100245,1000084,500858,7,612200,10,3856860
1100246,1000084,500887,13,2494200,10,29182140
1100247,1000085,500829,18,929800,0,16736400
1100248,1000085,500800,8,2321100,5,17640360
1100249,1000085,500908,5,2249800,5,10686550
1100250,1000086,500463,9,3236400,0,29127600
1100251,1000086,500699,1,1333200,0,1333200
1100252,1000086,500637,11,1739900,0,19138900
1100253,1000086,500534,11,639700,15,5981195
1100254,1000086,500953,11,678700,5,7092415
1100255,1000087,500344,19,1410100,10,24112710
1100256,1000087,500017,2,1906600,10,3431880
1100257,1000088,500055,10,726300,5,6899850
1100258,1000088,500912,14,1528100,15,18184390
1100259,1000088,500100,10,859400,0,8594000
1100260,1000088,500485,17,4188000,10,64076400
1100261,1000089,500088,18,3200300,5,54725130
1100262,1000089,500909,12,1068100,5,12176340
1100263,1000089,500272,14,3079200,5,40953360
1100264,1000089,500138,13,1563800,0,20329400
1100265,1000090,500553,12,2054400,10,22187520
1100266,1000091,500617,4,16400,0,65600
1100267,1000091,500833,17,219300,0,3728100
1100268,1000092,500411,1,878300,0,878300
1100269,1000092,500250,12,356000,5,4058400
1100270,1000092,500807,14,2454600,0,34364400
1100271,1000092,500361,2,60900,0,121800
1100272,1000092,500756,8,645800,5,4908080
1100273,1000093,500422,16,291600,15,3965760
1100274,1000094,500586,5,1905000,0,9525000
1100275,1000095,500832,3,2194800,10,5925960
1100276,1000095,500017,17,1906600,5,30791590
1100277,1000095,500542,17,3560100,5,57495615
1100278,1000096,500413,16,1267900,0,20286400
1100279,1000097,500936,17,1031800,5,16663570
1100280,1000097,500426,1,3206600,15,2725610
1100281,1000097,500910,11,964500,15,9018075
1100282,1000097,500346,1,2405500,15,2044675
1100283,1000097,500682,10,1910200,10,17191800
1100284,1000098,500278,18,1447700,5,24755670
1100285,1000099,500217,6,3920400,0,23522400
1100286,1000099,500817,3,3118500,5,8887725
1100287,1000099,500818,6,3659700,10,19762380
1100288,1000099,500725,1,180800,5,171760
1100289,1000100,500722,19,3072200,10,52534620
1100290,1000101,500951,7,1942100,0,13594700
1100291,1000101,500494,3,3269600,5,9318360
1100292,1000101,500791,1,1329100,10,1196190
1100293,1000102,500309,6,1800100,0,10800600
1100294,1000102,500218,19,1465400,10,25058340
1100295,1000102,500737,8,900900,0,7207200
1100296,1000102,500723,8,2953300,0,23626400
1100297,1000102,500320,20,1562000,15,26554000
1100298,1000103,500445,15,158900,0,2383500
1100299,1000103,500406,20,1523200,0,30464000
1100300,1000103,500069,20,3347100,0,66942000
1100301,1000103,500883,18,2487400,5,42534540
1100302,1000103,500201,1,3357600,0,3357600
1100303,1000104,500797,9,2025500,15,15495075
1100304,1000104,500844,8,2137000,0,17096000
1100305,1000104,500748,5,1049300,15,4459525
1100306,1000104,500728,3,2827100,5,8057235
1100307,1000104,500778,18,2060400,0,37087200
1100308,1000105,500687,9,1595300,15,12204045
1100309,1000105,500235,4,1060400,0,4241600
1100310,1000105,500951,17,1942100,10,29714130
1100311,1000105,500931,2,1621700,0,3243400
1100312,1000106,500099,11,1503900,0,16542900
1100313,1000106,500211,15,1475200,0,22128000
1100314,1000106,500121,16,1867400,0,29878400
1100315,1000106,500642,5,1494000,5,7096500
1100316,1000106,500674,10,1673300,0,16733000
1100317,1000107,500034,17,2764900,15,39952805
1100318,1000107,500967,3,2482000,5,7073700
1100319,1000107,500169,13,688400,0,8949200
1100320,1000107,500565,6,1120500,10,6050700
1100321,1000107,500441,18,3540000,0,63720000
1100322,1000108,500707,1,1026000,5,974700
1100323,1000109,500675,9,1351000,0,12159000
1100324,1000109,500081,14,246100,10,3100860
1100325,1000109,500003,14,3084100,10,38859660
1100326,1000109,500735,4,2392600,15,8134840
1100327,1000110,500016,18,2988600,0,53794800
1100328,1000110,500567,5,4295900,0,21479500
1100329,1000111,500995,14,1667900,0,23350600
1100330,1000111,500721,9,522000,0,4698000
1100331,1000112,500688,9,2849400,0,25644600
1100332,1000112,500556,16,1412600,0,22601600
1100333,1000113,500316,6,300700,15,1533570
1100334,1000113,500944,12,2512800,0,30153600
1100335,1000114,500236,15,3165700,0,47485500
1100336,1000114,500264,1,212500,0,212500
1100337,1000115,500695,15,3238800,0,48582000
1100338,1000115,500140,10,60600,0,606000
1100339,1000115,500400,11,2737500,0,30112500
1100340,1000115,500910,10,964500,0,9645000
1100341,1000116,500750,18,3791900,5,64841490
1100342,1000117,500890,9,673800,10,5457780
1100343,1000117,500584,5,838100,0,4190500
1100344,1000117,500376,19,404500,5,7301225
1100345,1000117,500532,8,1869800,10,13462560
1100346,1000118,500134,8,2312200,5,17572720
1100347,1000118,500042,13,1393500,5,17209725
1100348,1000119,500332,19,3177500,5,57353875
1100349,1000119,500981,6,1453500,0,8721000
1100350,1000119,500803,2,3929900,0,7859800
1100351,1000119,500197,20,3491200,10,62841600
1100352,1000119,500413,6,1267900,0,7607400
1100353,1000120,500483,19,4030700,10,68924970
1100354,1000121,500978,20,1501800,15,25530600
1100355,1000121,500884,5,92600,10,416700
1100356,1000121,500985,20,3707500,15,63027500
1100357,1000121,500586,8,1905000,0,15240000
1100358,1000121,500344,18,1410100,15,21574530
1100359,1000122,500480,20,1510600,0,30212000
1100360,1000122,500397,14,1348100,0,18873400
1100361,1000122,500319,4,1562600,0,6250400
1100362,1000122,500270,17,123700,0,2102900
1100363,1000123,500646,17,55500,15,801975
1100364,1000123,500201,20,3357600,0,67152000
1100365,1000124,500307,10,275500,0,2755000
1100366,1000125,500795,8,2651700,0,21213600
1100367,1000125,500938,10,1095300,15,9310050
1100368,1000125,500602,3,1694600,0,5083800
1100369,1000126,500529,11,2354000,0,25894000
1100370,1000126,500970,18,2318500,5,39646350
1100371,1000126,500140,2,60600,10,109080
1100372,1000126,500656,18,2817200,5,48174120
1100373,1000126,500690,11,310400,15,2902240
1100374,1000127,500353,20,2053800,15,34914600
1100375,1000128,500033,19,2614500,5,47191725
1100376,1000128,500454,14,1651400,10,20807640
1100377,1000129,500891,18,3882900,0,69892200
1100378,1000129,500695,12,3238800,5,36922320
1100379,1000129,500570,5,2666300,0,13331500
1100380,1000129,500091,16,2235000,15,30396000
1100381,1000129,500389,8,572000,15,3889600
1100382,1000130,500458,19,2161000,0,41059000
1100383,1000130,500512,5,291100,15,1237175
1100384,1000130,500986,10,4115100,0,41151000
1100385,1000130,500332,8,3177500,0,25420000
1100386,1000130,500524,9,845100,0,7605900
1100387,1000131,500707,20,1026000,0,20520000
1100388,1000131,500916,13,3008700,0,39113100
1100389,1000131,500014,2,2012600,5,3823940
1100390,1000131,500523,16,60600,0,969600
1100391,1000132,500092,19,1528800,15,24690120
1100392,1000132,500190,2,3092200,0,6184400
1100393,1000132,500745,11,554900,10,5493510
1100394,1000132,500799,19,632600,10,10817460
1100395,1000133,500044,7,1894200,0,13259400
1100396,1000133,500785,6,736300,0,4417800
1100397,1000133,500918,10,509600,0,5096000
1100398,1000133,500912,15,1528100,0,22921500
1100399,1000134,500442,5,1963300,0,9816500
1100400,1000134,500338,3,2674900,0,8024700
1100401,1000134,500742,16,216900,5,3296880
1100402,1000134,500345,3,2132300,10,5757210
1100403,1000134,500077,16,2671700,15,36335120
1100404,1000135,500931,18,1621700,10,26271540
1100405,1000135,500371,3,2083800,0,6251400
1100406,1000136,500596,12,245800,10,2654640
1100407,1000137,500344,15,1410100,0,21151500
1100408,1000138,500994,13,3087000,0,40131000
1100409,1000139,500261,1,2363400,15,2008890
1100410,1000139,500333,11,169500,0,1864500
1100411,1000139,500124,18,2191700,0,39450600
1100412,1000139,500019,8,3389100,10,24401520
1100413,1000139,500996,18,2037700,0,36678600
1100414,1000140,500408,13,2375200,0,30877600
1100415,1000140,500822,2,1698300,0,3396600
1100416,1000140,500548,12,1045700,10,11293560
1100417,1000140,500592,13,2496000,15,27580800
1100418,1000140,500295,1,533000,15,453050
1100419,1000141,500748,11,1049300,0,11542300
1100420,1000141,500970,13,2318500,0,30140500
1100421,1000141,500742,14,216900,15,2581110
1100422,1000141,500643,7,1965900,0,13761300
1100423,1000141,500775,8,2777400,0,22219200
1100424,1000142,500500,10,3963300,0,39633000
1100425,1000142,500916,1,3008700,10,2707830
1100426,1000142,500977,17,1069600,0,18183200
1100427,1000142,500817,14,3118500,5,41476050
1100428,1000142,500046,17,2796600,15,40410870
1100429,1000143,500642,20,1494000,0,29880000
1100430,1000144,500874,13,1675200,5,20688720
1100431,1000144,500106,4,441400,0,1765600
1100432,1000145,500255,6,1324500,15,6754950
1100433,1000145,500126,4,2144700,10,7720920
1100434,1000145,500702,13,3032400,0,39421200
1100435,1000145,500313,15,1051300,15,13404075
1100436,1000146,500728,1,2827100,5,2685745
1100437,1000146,500509,9,2390900,0,21518100
1100438,1000146,500762,9,2541600,0,22874400
1100439,1000146,500512,2,291100,10,523980
1100440,1000147,500416,3,849100,10,2292570
1100441,1000147,500613,11,2904600,15,27158010
1100442,1000147,500258,19,1338400,0,25429600
1100443,1000148,500940,14,97300,0,1362200
1100444,1000148,500264,11,212500,15,1986875
1100445,1000149,500804,13,2081600,0,27060800
1100446,1000149,500794,18,2748400,0,49471200
1100447,1000150,500007,7,3161600,5,21024640
1100448,1000150,500551,13,2463800,0,32029400
1100449,1000150,500354,2,2349100,5,4463290
1100450,1000150,500251,2,199700,5,379430
1100451,1000151,500784,17,3045600,15,44008920
1100452,1000151,500093,14,1692100,0,23689400
1100453,1000152,500125,6,2166900,0,13001400
1100454,1000152,500868,8,2682400,15,18240320
1100455,1000152,500031,5,2865600,0,14328000
1100456,1000152,500144,1,4015100,10,3613590
1100457,1000152,500278,11,1447700,0,15924700
1100458,1000153,500391,8,3243600,0,25948800
1100459,1000153,500615,6,3066200,5,17477340
1100460,1000153,500045,2,27200,10,48960
1100461,1000153,500769,18,3389800,5,57965580
1100462,1000153,500048,5,307300,5,1459675
1100463,1000154,500874,9,1675200,15,12815280
1100464,1000154,500632,5,1553900,0,7769500
1100465,1000154,500342,10,2134900,15,18146650
1100466,1000155,500131,18,248000,0,4464000
1100467,1000156,500954,10,2551600,0,25516000
1100468,1000156,500424,13,2145400,0,27890200
1100469,1000156,500934,6,957400,10,5169960
1100470,1000157,500338,14,2674900,5,35576170
1100471,1000158,500905,5,2018900,0,10094500
1100472,1000158,500579,14,469500,0,6573000
1100473,1000158,500477,1,3120100,0,3120100
1100474,1000158,500478,5,4290200,5,20378450
1100475,1000159,500390,17,2869700,0,48784900
1100476,1000160,500470,8,331100,15,2251480
1100477,1000161,500371,17,2083800,5,33653370
1100478,1000162,500222,8,1797200,10,12939840
1100479,1000163,500280,12,4257100,0,51085200
1100480,1000163,500103,11,1309800,15,12246630
1100481,1000163,500990,15,383800,10,5181300
1100482,1000163,500059,11,2790300,15,26089305
1100483,1000164,500682,19,1910200,10,32664420
1100484,1000164,500424,14,2145400,15,25530260
1100485,1000164,500318,13,835500,10,9775350
1100486,1000164,500227,14,2645700,0,37039800
1100487,1000164,500414,4,929300,10,3345480
1100488,1000165,500280,18,4257100,5,72796410
