order_no,customer_id,order_date,status,channel,payment_method,total_amount_krw
1000001,201441,2025-03-04,취소,전화,여신,117801800
1000002,200957,2023-06-14,배송중,매장,현금,81407325
1000003,201770,2024-07-10,주문접수,온라인,현금,53875120
1000004,201620,2025-06-05,주문접수,온라인,여신,68777310
1000005,201586,2024-02-05,배송완료,매장,카드,20405525
1000006,201756,2025-05-28,배송완료,온라인,현금,12032000
1000007,201202,2025-05-09,배송완료,매장,현금,74308200
1000008,200169,2024-01-17,배송완료,전화,여신,28169700
1000009,200009,2024-05-05,배송완료,온라인,카드,28325485
1000010,200415,2023-12-01,배송완료,온라인,카드,106284670
1000011,200184,2024-07-19,배송완료,온라인,계좌이체,17073400
1000012,200220,2025-10-13,결제완료,온라인,현금,102367275
1000013,200202,2024-08-06,주문접수,매장,현금,78430500
1000014,201086,2023-12-06,결제완료,영업사원,카드,1293840
1000015,200966,2023-10-09,결제완료,영업사원,계좌이체,94195090
1000016,200266,2024-02-20,결제완료,온라인,카드,123733920
1000017,200373,2024-08-10,배송완료,영업사원,계좌이체,97552700
1000018,200333,2023-09-06,배송완료,영업사원,현금,42891030
1000019,201735,2025-07-22,배송완료,전화,계좌이체,29484600
1000020,200184,2024-10-21,배송완료,매장,여신,15682800
1000021,200149,2023-01-10,배송완료,온라인,현금,15314600
1000022,201829,2023-11-17,배송완료,매장,현금,9513000
1000023,201110,2024-08-22,배송완료,영업사원,카드,12339380
1000024,201668,2023-02-01,배송완료,영업사원,현금,9002465
1000025,201564,2025-03-05,결제완료,전화,카드,118079700
1000026,201680,2023-08-31,취소,온라인,현금,111050060
1000027,200968,2024-05-20,배송중,온라인,계좌이체,22032585
1000028,200480,2025-02-01,결제완료,매장,계좌이체,58613280
1000029,201504,2025-02-24,배송완료,매장,카드,41706950
1000030,200734,2023-05-13,배송완료,영업사원,카드,6690600
1000031,200741,2025-02-25,주문접수,온라인,계좌이체,73226840
1000032,201820,2025-06-24,배송완료,전화,여신,18170100
1000033,201376,2024-01-06,배송완료,영업사원,계좌이체,39414345
1000034,201830,2025-07-12,배송완료,온라인,계좌이체,91603270
1000035,201932,2024-11-23,배송완료,온라인,여신,158534645
1000036,201835,2023-03-03,주문접수,매장,여신,116465925
1000037,200410,2025-05-06,결제완료,영업사원,카드,76492680
1000038,201509,2025-08-28,배송완료,전화,계좌이체,49835680
1000039,201731,2024-01-06,배송완료,온라인,카드,65324950
1000040,201560,2023-06-03,주문접수,온라인,현금,46382180
1000041,200323,2025-01-31,배송완료,온라인,여신,59593410
1000042,201957,2023-01-17,배송완료,온라인,카드,26771900
1000043,201824,2024-06-29,배송완료,온라인,여신,77153265
1000044,201893,2024-02-02,배송완료,온라인,카드,26796165
1000045,200597,2024-02-11,배송완료,전화,여신,118675945
1000046,200888,2024-05-09,취소,온라인,여신,412560
1000047,201549,2024-10-27,배송완료,전화,카드,64116360
1000048,201432,2024-03-24,결제완료,온라인,계좌이체,73546150
1000049,201833,2023-08-30,주문접수,온라인,계좌이체,65980000
1000050,201701,2025-05-31,결제완료,전화,현금,115625500
1000051,200048,2025-07-16,결제완료,온라인,카드,132352760
1000052,201158,2023-12-18,배송중,온라인,현금,12666600
1000053,200531,2023-03-12,배송중,매장,카드,38924400
1000054,201961,2023-12-10,배송완료,전화,현금,9471000
1000055,201748,2023-05-02,배송완료,영업사원,현금,1833400
1000056,201424,2024-03-02,배송중,매장,여신,46582920
1000057,200271,2023-01-15,주문접수,매장,카드,33653370
1000058,200259,2024-07-05,결제완료,영업사원,현금,7670300
1000059,201539,2025-03-15,배송완료,전화,현금,112848340
1000060,200328,2023-05-15,취소,매장,계좌이체,38262570
1000061,200811,2025-07-03,배송완료,영업사원,현금,55539400
1000062,200970,2024-10-14,배송완료,온라인,계좌이체,93753070
1000063,201352,2025-12-27,취소,전화,계좌이체,10914000
1000064,201762,2024-11-10,배송완료,매장,카드,22597200
1000065,201060,2025-06-23,배송완료,전화,현금,56611950
1000066,201435,2023-08-13,배송중,영업사원,카드,26710200
1000067,200884,2025-10-06,배송중,매장,현금,40093910
1000068,200957,2024-08-16,반품,매장,계좌이체,140891750
1000069,201993,2024-10-18,결제완료,전화,현금,209022400
1000070,201893,2024-03-19,주문접수,매장,계좌이체,122885635
1000071,201781,2024-12-18,배송완료,영업사원,계좌이체,15997800
1000072,201551,2024-09-06,배송완료,전화,계좌이체,56021580
1000073,201217,2023-01-24,결제완료,전화,여신,52992570
1000074,200398,2024-01-15,배송완료,온라인,계좌이체,36938470
1000075,200504,2025-01-29,결제완료,온라인,계좌이체,69375740
1000076,200945,2025-09-22,배송중,영업사원,현금,49074430
1000077,200448,2025-12-12,결제완료,영업사원,카드,21534800
1000078,200911,2025-05-21,배송중,온라인,카드,15534665
1000079,201317,2024-06-14,배송완료,매장,카드,34481000
1000080,200797,2024-12-15,배송완료,전화,여신,61012440
1000081,201948,2025-05-10,취소,전화,계좌이체,10131800
1000082,201278,2023-04-03,주문접수,매장,계좌이체,84318055
1000083,200614,2024-01-10,배송완료,전화,카드,87770000
1000084,201575,2025-10-13,배송완료,전화,여신,49672400
1000085,201168,2023-01-23,배송완료,온라인,현금,45063310
1000086,201410,2025-08-15,배송완료,전화,계좌이체,62673310
1000087,200188,2025-03-11,결제완료,매장,여신,27544590
1000088,201093,2023-06-09,배송완료,전화,현금,97754640
1000089,200435,2025-07-25,배송완료,영업사원,카드,128184230
1000090,200754,2024-08-31,취소,온라인,카드,22187520
1000091,200306,2025-07-16,배송완료,전화,카드,3793700
1000092,201429,2025-07-19,배송중,전화,여신,44330980
1000093,201213,2025-11-08,배송완료,영업사원,계좌이체,3965760
1000094,200046,2025-04-08,배송완료,매장,여신,9525000
1000095,200841,2025-08-31,취소,전화,계좌이체,94213165
1000096,201029,2024-11-05,결제완료,영업사원,계좌이체,20286400
1000097,200624,2023-12-13,결제완료,매장,계좌이체,47643730
1000098,201697,2023-08-30,결제완료,온라인,여신,24755670
1000099,201399,2025-06-25,배송완료,매장,계좌이체,52344265
1000100,201571,2025-11-08,주문접수,매장,여신,52534620
1000101,200246,2023-11-12,배송완료,영업사원,현금,24109250
1000102,201251,2024-06-21,배송완료,온라인,카드,93246540
1000103,200579,2025-01-04,결제완료,전화,계좌이체,145681640
1000104,201964,2024-07-10,배송완료,영업사원,여신,82195035
1000105,201029,2023-01-12,배송완료,영업사원,현금,49403175
1000106,201808,2023-10-18,취소,영업사원,카드,92378800
1000107,200417,2023-03-05,배송완료,전화,현금,125746405
1000108,201726,2025-12-14,배송완료,매장,현금,974700
1000109,201949,2024-01-12,배송중,영업사원,카드,62254360
1000110,200352,2025-08-25,배송완료,매장,카드,75274300
1000111,200935,2023-04-27,배송중,전화,계좌이체,28048600
1000112,200668,2025-02-20,배송중,온라인,계좌이체,48246200
1000113,200023,2024-08-27,주문접수,영업사원,카드,31687170
1000114,201200,2023-07-04,취소,전화,여신,47698000
1000115,200830,2023-05-01,배송완료,전화,현금,88945500
1000116,200456,2025-05-20,배송완료,전화,현금,64841490
1000117,201392,2023-02-03,반품,전화,현금,30412065
1000118,201924,2025-03-30,배송완료,영업사원,여신,34782445
1000119,200582,2023-05-31,배송완료,영업사원,계좌이체,144383675
1000120,200023,2025-02-25,배송완료,영업사원,계좌이체,68924970
1000121,200388,2024-12-07,배송완료,영업사원,여신,125789330
1000122,201139,2025-11-20,배송완료,온라인,현금,57438700
1000123,201834,2024-05-20,배송완료,매장,계좌이체,67953975
1000124,200825,2023-01-21,배송완료,영업사원,여신,2755000
1000125,200301,2023-05-18,반품,전화,카드,35607450
1000126,200035,2024-02-23,배송완료,영업사원,현금,116725790
1000127,200328,2023-10-05,배송완료,매장,카드,34914600
1000128,201063,2024-01-10,배송완료,온라인,현금,67999365
1000129,201145,2025-03-31,배송완료,온라인,여신,154431620
1000130,201261,2025-04-16,배송완료,매장,현금,116473075
1000131,200462,2023-05-29,배송중,매장,카드,64426640
1000132,201017,2024-12-17,배송완료,온라인,계좌이체,47185490
1000133,201057,2025-09-18,배송완료,온라인,현금,45694700
1000134,201011,2025-06-02,배송완료,온라인,현금,63230410
1000135,200184,2025-09-16,결제완료,전화,여신,32522940
1000136,200395,2024-06-07,배송완료,온라인,현금,2654640
1000137,200710,2023-06-11,결제완료,전화,여신,21151500
1000138,201371,2025-01-19,배송완료,영업사원,여신,40131000
1000139,200006,2023-04-14,배송완료,매장,카드,104404110
1000140,201648,2023-02-19,결제완료,영업사원,카드,73601610
1000141,200311,2025-03-13,배송완료,영업사원,계좌이체,80244410
1000142,200410,2023-04-24,취소,영업사원,카드,142410950
1000143,201222,2023-12-11,배송완료,전화,계좌이체,29880000
1000144,200162,2023-07-08,배송완료,전화,현금,22454320
1000145,201149,2023-04-07,배송완료,매장,계좌이체,67301145
1000146,200038,2024-10-04,배송완료,매장,계좌이체,47602225
1000147,200164,2025-06-27,결제완료,영업사원,여신,54880180
1000148,201647,2025-03-04,반품,영업사원,카드,3349075
1000149,200745,2024-04-20,반품,온라인,계좌이체,76532000
1000150,200766,2025-09-22,주문접수,영업사원,계좌이체,57896760
1000151,200889,2023-01-18,배송완료,온라인,카드,67698320
1000152,200023,2024-03-19,배송중,매장,여신,65108010
1000153,201551,2025-01-29,배송중,전화,여신,102900355
1000154,201914,2024-08-27,배송중,전화,현금,38731430
1000155,201896,2024-11-05,배송완료,온라인,여신,4464000
